number,event_number,particle_name,particle_id,E,Px,Py,Pz
10776,7882,e-,11,48.9201,-5.98347,-25.4214,41.3658
10777,7883,e+,-11,37.4035,-8.0484,36.0032,6.16588
10778,7884,e-,11,63.5927,40.9772,5.91489,-48.2692
10779,7885,e-,11,46.8026,45.2418,-10.0693,-6.5018
10780,7886,e-,11,184.709,13.5531,26.9099,182.235
10781,7887,e+,-11,111.347,59.2663,-17.435,-92.6372
10782,7888,e-,11,81.0749,-60.4607,11.212,-52.8387
10783,7889,e-,11,34.4823,11.7086,32.3979,-1.52002
10784,7890,e-,11,80.9873,-58.2721,9.58836,-55.4199
10785,7891,e-,11,134.395,55.6821,-116.216,38.1481
10786,7891,e+,-11,65.8581,-42.5195,6.64562,49.852
10787,7892,e+,-11,40.7098,20.908,11.4069,33.0155
10788,7893,e+,-11,261.129,-26.5459,57.7917,-253.266
10789,7894,e+,-11,67.8675,-52.0778,-30.6882,30.8567
10790,7894,e-,11,33.3049,31.0477,1.65464,11.9381
10791,7895,e+,-11,196.232,11.3196,-46.904,-190.208
10792,7896,e-,11,57.3907,6.16793,-56.9844,2.90341
10793,7897,e+,-11,66.2504,-46.1023,-27.8007,38.611
10794,7897,e-,11,58.7713,8.35453,44.5198,-37.4467
10795,7898,e-,11,50.5592,39.1956,-18.9679,-25.6934
10796,7898,e+,-11,25.973,17.5544,-16.1157,10.3308
10797,7899,e-,11,26.6376,25.1124,8.87046,-0.494669
10798,7900,e+,-11,46.2771,15.2071,43.6647,-1.92403
10799,7902,e-,11,27.1241,22.3892,14.645,-4.46787
10800,7902,e+,-11,27.0546,22.7667,1.58952,-14.5293
10801,7903,e+,-11,114.504,58.4382,-54.9495,81.7109
10802,7904,e+,-11,52.3439,40.9272,-26.5192,19.0154
10803,7904,e-,11,69.4572,24.8191,-22.0114,61.0231
10804,7905,e-,11,32.5352,13.8546,9.63279,27.8172
10805,7905,e+,-11,16.3292,7.51579,-11.1294,-9.28925
10806,7906,e-,11,25.3075,5.34709,-24.0155,5.92745
10807,7907,e-,11,342.271,-41.0451,53.5236,-335.559
10808,7907,e+,-11,60.9249,5.56038,-30.1758,52.6341
10809,7908,e+,-11,241.201,-18.7351,53.6903,-234.402
10810,7908,e-,11,15.613,-8.65584,5.84606,11.6046
10811,7909,e-,11,293.46,115.703,-118.448,-242.283
10812,7909,e+,-11,43.275,-36.6001,17.098,-15.5182
10813,7910,e-,11,81.7899,-1.5355,13.825,-80.5984
10814,7911,e+,-11,282.378,40.3165,-33.9667,-277.413
10815,7912,e+,-11,128.261,-61.8072,6.49781,112.199
10816,7912,e-,11,49.9081,3.34368,12.9928,48.071
10817,7913,e-,11,171.763,-26.3011,62.2091,157.927
10818,7913,e+,-11,74.4297,-4.51637,-45.4786,58.7459
10819,7914,e-,11,377.611,75.4711,51.8685,-366.339
10820,7914,e+,-11,23.9149,-0.414224,-22.3368,8.53342
10821,7915,e+,-11,70.0696,-1.32257,37.9027,58.9185
10822,7917,e+,-11,28.275,19.1097,0.358958,-20.8366
10823,7917,e-,11,22.6505,9.59841,5.65317,-19.722
10824,7918,e+,-11,72.6245,-44.9564,51.3427,24.8428
